time,amps,volt
1586376086.142, 2.873517E-01, 1.142182E-01
1586376096.144, 2.808896E-01, 1.120017E-01
1586376106.142, 2.809281E-01, 1.120200E-01
1586376116.142, 2.799088E-01, 1.114338E-01
1586376126.143, 2.814377E-01, 1.120017E-01
1586376136.142, 2.811300E-01, 1.119101E-01
1586376146.093, 2.774134E-01, 1.105362E-01
1586376156.092, 2.809665E-01, 1.118002E-01
1586376166.092, 2.966554E-01, 1.176622E-01
1586376176.092, 2.840582E-01, 1.129726E-01
1586376186.091, 2.809617E-01, 1.118368E-01
1586376196.094, 2.789616E-01, 1.111223E-01
1586376206.094, 2.777980E-01, 1.106277E-01
1586376216.094, 2.817070E-01, 1.121299E-01
1586376226.093, 2.791443E-01, 1.111223E-01
1586376236.092, 2.787500E-01, 1.109941E-01
1586376246.093, 2.814281E-01, 1.120200E-01
1586376256.092, 2.783894E-01, 1.108659E-01
1586376266.092, 2.796347E-01, 1.113422E-01
1586376276.093, 2.834620E-01, 1.126978E-01
1586376286.093, 2.789904E-01, 1.109758E-01
1586376296.092, 2.831062E-01, 1.124047E-01
1586376306.091, 2.857506E-01, 1.134489E-01
1586376316.094, 2.834524E-01, 1.125695E-01
1586376326.094, 2.822840E-01, 1.121116E-01
1586376336.143, 2.819811E-01, 1.118918E-01
1586376346.142, 2.865776E-01, 1.136137E-01
1586376356.142, 2.873950E-01, 1.141083E-01
1586376366.142, 2.817407E-01, 1.119650E-01
1586376376.142, 2.785625E-01, 1.101514E-01
1586376386.142, 2.856737E-01, 1.134122E-01
1586376396.142, 2.873373E-01, 1.140167E-01
1586376406.092, 2.946648E-01, 1.167279E-01
1586376416.143, 2.827551E-01, 1.123863E-01
1586376426.142, 2.950207E-01, 1.168745E-01
1586376436.142, 2.859526E-01, 1.135404E-01
1586376446.092, 2.825196E-01, 1.122581E-01
1586376456.143, 2.782981E-01, 1.107560E-01
1586376466.142, 2.910684E-01, 1.154823E-01
1586376476.143, 2.932705E-01, 1.163249E-01
1586376486.142, 2.788269E-01, 1.113055E-01
1586376496.143, 2.782163E-01, 1.107193E-01
1586376506.141, 2.820580E-01, 1.121665E-01
1586376516.142, 2.810579E-01, 1.118002E-01
1586376526.143, 2.805146E-01, 1.115986E-01
